DIVISION,HUB,PROJECT_NUMBER,PROJECT_NAME
Austin-San Antonio,<No Hub>,14877,Thunder Rock Classic
Austin-San Antonio,<No Hub>,14878,Thunder Rock Watermill CORE
Austin-San Antonio,<No Hub>,40334,Morgan Meadows-Cottage
Austin-San Antonio,<No Hub>,AUS-FCO002,(Blank)
Austin-San Antonio,<No Hub>,AUS-FCO003,(Blank)
Austin-San Antonio,<No Hub>,AUS-FCO004,(Blank)
Austin-San Antonio,<No Hub>,AUS-FCO005,(Blank)
Austin-San Antonio,<No Hub>,AUS-FCO038,(Blank)
Austin-San Antonio,<No Hub>,SAN-FCO047,(Blank)
Austin-San Antonio,<No Hub>,SAN-FCO048,(Blank)
Austin-San Antonio,<No Hub>,SAN-FCO145,(Blank)
Austin-San Antonio,<No Hub>,SAN-FCO162,(Blank)
Austin-San Antonio,<No Hub>,TE_HB San Antonio,(Blank)
Austin-San Antonio,Austin Div OH,41023,Community First Townhome
Austin-San Antonio,Closeout HUB,14812,Bradshaw Crossing                   9000
Austin-San Antonio,Closeout HUB,14825,Colony Claremont
Austin-San Antonio,Closeout HUB,14830,Bastrop Grove 35s
Austin-San Antonio,Closeout HUB,14831,Bastrop Grove 40s & 50s
Austin-San Antonio,Closeout HUB,41024,Community First Village
Austin-San Antonio,Corpus Christi HUB,40502,Meadowbrook Estates-Watermill
Austin-San Antonio,Corpus Christi HUB,40508,Calallen-Watermill
Austin-San Antonio,Corpus Christi HUB,40509,Calallen-Coastline
Austin-San Antonio,Corpus Christi HUB,40519,Starlight Estates-Coastline
Austin-San Antonio,Corpus Christi HUB,40520,Starlight Estates-Watermill
Austin-San Antonio,Corpus Christi HUB,40523,King's Landing-Watermill
Austin-San Antonio,Corpus Christi HUB,40524,King's Landing-Coastline
Austin-San Antonio,Corpus Christi HUB,40526,Sinton Ranch-Crestmore
Austin-San Antonio,Corpus Christi HUB,40527,Sinton Ranch-Cottage
Austin-San Antonio,Corpus Christi HUB,40528,Sinton Ranch-Coastline
Austin-San Antonio,Corpus Christi HUB,40529,Sinton Ranch-Watermill
Austin-San Antonio,Corpus Christi HUB,40531,David Estates-Classic
Austin-San Antonio,Corpus Christi HUB,40532,David Estates-Watermill
Austin-San Antonio,Corpus Christi HUB,40533,David Estates-Coastline
