PLAN_NUMBER,PLAN_NAME,COLLECTION,TIER,IS_CORE,SQFT,STORIES,BR,BA,GA,WIDTH,DEPTH
1017,Haven,,,N,,,,,,,
1031,Henley,Dream,1,Y,661,2,1,2,0,10,38
1041,Felton,Dream,1,Y,850,2,2,2,0,10,48
1100,Northwood,,,N,,,,,,,
1101,Chappell,Stonehill,1,Y,1200,1,3,2,0,25,52
1103,Montour,,,N,1230,1,3,2,0,,
1110,Ridgeland,,,N,1427,2,3,2,0,,
1111,Avas,Stonehill,1,Y,1380,1,3,2,0,25,60
1113,Cambria,,,N,1450,1,3,2,0,,
1114,Broyce,,,N,,,,,,,
1116,Weyburn,,,N,1450,1,3,2,0,,
1121,Timms,Stonehill,1,Y,1500,1,4,2,0,25,64
1130,Rosedale,,,N,1879,2,4,2,0,,
1131,Highgate,Stonehill,1,Y,1802,2,4,2.5,0,25,41
1230,Whiting,,,N,,,,,,,
1243,Inspire,,,N,1287,1,3,2,1,,
1266,Janeway,,,N,1266,1,3,2,2,,
1267,Albany,,,N,1267,1,3,2,2,,
1313,Dawn,,,N,1313,1,3,2,2,,
1372,Justice,,,N,1377,2,2,2.5,0,,
1393,Sunrise II,,,N,1395,1,2,2,1,,
1396,Sunrise II,,,N,1396,2,3,2,2,,
1420,Montour,,,N,1230,1,3,2,0,,
1430,Ridgeland,,,N,1427,2,3,2,0,,
1440,Cambria,,,N,1450,1,3,2,0,,
1450,Annapolis,,,N,1444,1,3,2,2,,
1453,Baltimore II,,,N,1687,2,3,2,1,,
1460,Deerbrook,,,N,1602,2,4,2,0,,
1470,Rosedale,,,N,1879,2,4,2,0,,
1486,Malibu,,,N,1486,1,3,2,2,,
1500,Hayes,Wellton,1,N,1025,2,2,2.5,1,15,53
1501,Kofa,Wellton,1,Y,1013,2,2,2,1,,
1510,Canelo,Wellton,1,N,1510,2,3,2,1,,
1511,Baja,Wellton,1,Y,1189,2,3,2.5,1,15,54
1516,Windsor II,,,N,1513,2,2,2,1,,
1520,Rincon,Wellton,1,N,1520,1,2,2,2,,
1521,Pima,Wellton,1,Y,1360,2,3,2.5,1,15,65
1530,Aubrey,Wellton,1,N,1550,2,4,2.5,2,,
1531,Cibola,Wellton,1,Y,1535,2,4,2.5,1,15,65
1532,Glenmoor II,,,N,1541,2,2,2,1,,
1534,Legion,,,N,1543,2,3,2.5,0,,
1545,ELAN,,,N,,,,,,,
1551,DOVER,,,N,1555,1,3,2,2,,
1561,Ventura,,,N,1562,1,2,0,1,,
1585,Dayspring II,,,N,1613,1,2,2,1,,
1586,Morningtide II,,,N,1683,1,2,2,2,,
1587,Dayspring,,,N,,,,,,,
1596,Allegiance,,,N,1597,2,3,2,1,,
1611,Palisade,,,N,1611,2,3,2.5,2,,
1613,Isabella,,,N,,,,,,,
1620,Wilshire,,,N,1615,2,3,2,2,,
1624,Hampton II,,,N,1634,2,3,2,1,,
1628,Bright,,,N,1628,2,3,2,1,,
1642,Mulberry,,,N,1601,2,3,2,1,,
1647,Westwood,,,N,1647,2,3,2,2,,
1654,Avenger,,,N,1661,2,3,2.5,0,,
1660,Emerson,,,N,1660,1,3,2,0,,
1663,Fantastic,,,N,1661,2,4,2.5,0,,
1666,St. Thomas II,,,N,1666,2,3,2,1,,
1681,Splendor II,,,N,1783,1,2,2,2,,
1689,Amalfi,,,N,1689,2,3,2.5,1,,
1693,CARLISLE,,,N,1693,1,3,2,0,,
1703,HALLE,,,N,1703,1,3,2,2,,
1708,Newhaven,,,N,1708,1,4,2,2,,
1713,Venice,,,N,1713,1,2,2,2,,
1726,Aurora II,,,N,1744,2,2,2,2,,
1727,Landcaster,,,N,1755,2,3,2,2,,
1731,Aurora,,,N,,,,,,,
1738,Oyster,,,N,,,,,,,
1749,Abacos,,,N,1747,2,3,2,1,,
1775,Constitution,,,N,1760,2,3,2,1,,
1782,Brookside,,,N,1782,2,3,2,2,,
1787,St. Kitts II,,,N,1787,2,3,2,1,,
1791,Harrisburg II,,,N,1817,1,4,2,2,,
1795,Danali,,,N,1795,2,3,2,2,,
1801,Capri II,,,N,1801,2,3,2,2,,
1806,Declaration,,,N,1807,2,3,2,2,,
1807,Telluride,,,N,1807,2,4,3,2,,
1815,Hudson,,,N,1815,1,4,2,0,,
1821,Sonora,,,N,1821,2,3,2.5,2,,
1824,Inverness,,,N,1824,1,3,2,0,,
1827,Sonora II,,,N,1827,2,3,2.5,2,,
1834,Minori,,,N,1834,2,3,2.5,1,,
1835,Vivid,,,N,1835,2,3,2,2,,
1843,ASPEN,Vista,,N,1844,1,3,2,2,,
1850,Hartridge,,,N,1850,1,2,2,2,,
1853,Allentown,,,N,1853,1,4,2,2,,
1860,Norfolk,,,N,1860,1,4,2,2,,
1871,Atlanta,,,N,1870,2,4,2,1,,
1872,SANIBEL,,,N,1872,1,2,2,2,,
1873,Sienna,,,N,1873,2,3,2.5,1,,
1876,Chicago II,,,N,1876,2,4,2.5,2,,
1896,HAILEY,,,N,1897,2,3,2,0,,
1900,Harmon,Broadview,1,N,1900,2,4,2.5,2,,
1905,Abell,,,N,,,,,,,
1906,Brayton,Broadview,1,Y,771,1,3,2,0,20,40
1908,Eva,,,N,1908,2,3,2.5,2,,
1910,Bristol,Broadview,1,N,1906,0,0,0,1,,
1914,Sabal Palm,,,N,,,,,,,
1916,Windrow,Broadview,1,Y,1033,1,3,2,0,20,53
1918,Hazel,Crestmore,1,Y,1049,1,3,2,2,20,73
1919,Bristol II,Broadview,1,N,1921,1,3,2,2,,
1920,Alta,Broadview,1,N,,,,,,,
1921,Shoreline,,,N,1975,2,4,3.5,2,,
1925,Devoe,,,N,1927,2,4,3,2,,
1926,Gates,Broadview,1,Y,1192,1,3,2,0,20,61
1928,Whiles,Crestmore,1,Y,1208,1,3,2,2,20,81
1930,Alta II,Broadview,1,N,1938,2,3,2.5,2,,
1935,Romark,,,N,1935,1,3,2,3,,
1936,Denley,Broadview,1,Y,1375,1,4,2,0,20,70
1938,Trevi,,,N,1943,1,4,3,0,,
1941,Hartford II,,,N,1936,1,4,2,2,,
1948,Carter,Crestmore,1,Y,1386,1,4,2,2,20,90
1948,Juniper,,,N,1386,1,4,2,2,,
1956,Freedom,Vista,,N,2109,1,4,3,2,,
1959,Sunburst II,,,N,1959,1,2,2,2,,
1962,Bourne II,,,N,2082,1,3,2,2,,
1989,Montara,,,N,1994,2,4,2,2,,
1993,Bimini,,,N,1993,2,3,2,1,,
2000,Grove,Cottage,1,N,,,,,,,
2001,Venice II,,,N,,,,,,,
2006,Cadley,,,N,2589,1,5,3,2,,
2009,Cadley,,,N,1016,1,3,2,0,,
2010,Windhaven,Cottage,1,N,2010,2,4,3,2,,
2011,Windhaven II,Cottage,1,N,2023,2,4,3,2,,
2012,Rundle,,,N,1266,1,3,2,2,,
2013,Ivy,Cottage,1,N,2028,1,3,3,2,,
2014,Ivy II,Cottage,1,N,2169,1,5,3,2,,
2015,Vista,,,N,2015,2,4,3,2,,
2016,Chestnut,Cottage,1,N,2014,1,3,2.5,2,,
2017,Chestnut II,Cottage,1,N,1411,1,3,2,2,,
2018,Chestnut 1.5,Cottage,1,N,2018,1,3,2,3,,
2019,Chestnut IV,Cottage,1,N,1951,2,3,2.5,2,,
2020,Red Oak,Cottage,1,N,2091,3,4,3,2,,
2021,Red Oak II,Cottage,1,N,1440,1,3,2,2,,
2022,Durbin,,,N,1440,1,3,2,2,,
2023,Meadow,Cottage,1,N,2023,2,4,3,2,,
2024,Meadow II,Cottage,1,N,2024,0,0,0,2,,
2026,Camellia,Cottage,1,N,2026,2,3,2,2,,
2027,Camellia II,Cottage,1,N,,,,,,,
2028,Camellia II,Cottage,1,N,1667,1,4,2,2,,
2029,Camellia IV,Cottage,1,N,1627,1,4,2,2,,
2030,Pinecove,Cottage,1,N,,,,,,,
2031,Pinecove II,Cottage,1,N,1684,2,4,2.5,2,,
2032,Harland,,,N,2032,1,4,3,2,,
2037,Brook II,,,N,,,,,,,
2040,Hillside,Cottage,1,N,,,,,,,
2041,Hillside II,Cottage,1,N,2056,2,4,2.5,2,,
2042,Ridley,,,N,1950,2,4,2,2,,
2047,Mayfield II,,,N,2047,2,3,2,2,,
2052,Aurora,,,N,2052,2,3,2.5,2,,
2056,Hawthorn,,,N,2056,2,4,2.5,2,,
2057,Hawthorn II,,,N,,,,,,,
2058,Hawthorn 1.5,,,N,,,,,,,
2059,Hawthorn IV,,,N,2059,1,3,2,2,,
2066,LINDEN,,,N,2083,2,3,2,2,,
2067,Linden II,,,N,2067,2,4,3,2,,
2068,Linden 1.5,,,N,2072,2,4,3,1,,
2069,Linden IV,,,N,2069,2,4,3,2,,
2071,Tahoe,,,N,2071,2,4,2.5,2,,
2072,Eastham,,,N,2072,3,5,3.5,2,,
2074,Vanderbilt II,,,N,,,,,,,
2075,Eastham II,,,N,2139,1,4,3,2,,
2076,Plymouth,,,N,,,,,,,
2081,Augusta,,,N,2084,1,4,3,2,,
2100,Oberlin,,,N,1279,1,3,2,2,,
2106,CHARLE,,,N,2106,1,4,2,2,,
2109,Discovery,,,N,2109,1,4,3,2,,
2110,Fernbrook,,,N,1391,1,3,2,2,,
2115,Chestnut V,Cottage,1,N,,,,,,,
2120,Marion,,,N,1449,1,3,2,2,,
2125,Dawning II,,,N,2141,1,3,2,2,,
2130,Joshua,,,N,2130,1,3,2,2,,
2131,Joshua II,,,N,2130,1,3,2,2,,
2135,Whitney,,,N,2135,2,3,2,2,,
2140,Windyhill,,,N,1834,2,3,2,2,,
2159,Brindley,,,N,2156,1,3,3,2,,
2162,Cozumel,,,N,2162,2,4,2,2,,
2169,LINDEN,,,N,,,,,,,
2170,Winsdale,,,N,2348,2,4,3,2,,
2173,Carnegie,,,N,2173,3,4,3,2,,
2179,Solona II,,,N,2186,2,3,2.5,2,,
2180,Riviera,,,N,2533,2,4,2,2,,
2184,Raleigh,,,N,,,,,,,
2188,Plant,,,N,2192,3,3,3,2,,
2197,Greylock,,,N,2189,2,3,2,2,,
2199,Apsen,,,N,2199,1,4,3,2,,
2215,Argent II,,,N,2216,1,2,2,2,,
2216,Boston,,,N,2215,2,5,2,1,,
2221,Dallas II,,,N,,,,,,,
2249,Princeton,,,N,2268,1,3,2,0,,
2251,Palermo II,,,N,2251,2,4,2,2,,
2257,SIERRA,,,N,2257,0,0,0,0,,
2259,Anna Maria,,,N,2259,2,4,2.5,2,,
2266,Patton II,,,N,1828,2,3,2,2,,
